Key;Background;Music;Sound;Single effect;Continuous effect;Events;Delay;Emisor;spanish;english
example2_training_field_092;;;;;;rafarencio:zoom:1.5:0.35;;;Se acerca a mí con rapidez y yo hago lo mismo, estando al alcance del otro nos miramos fijamente esperando a que el otro actúe primero.;
example2_training_field_093;;;;;;;;;El primero en actuar soy yo, le lanzo un golpe con mi mano izquierda mientras preparo un golpe con mi mano derecha.;
example2_training_field_094;;;;;;;;;Rafa lo esquiva sin dificultad y contraataca lanzando un barrido bastante alto, me veo en la obligación de agacharme para esquivarlo.;
example2_training_field_095;;;;;;;;;Se acerca a mí con rapidez y me empuja dándome una patada, inevitablemente caigo al suelo apoyado en mi trasero.;
example2_training_field_096;;;;;;;;;Vaya jugada, me obligó a agacharme con ese barrido y así sería más fácil derribarme de un empujón.;
example2_training_field_097;;;;;;rafarencio:attack;;;Estando en el suelo él no me da piedad alguna, me ataca ferozmente sin darme respiro, bloqueo sus ataques a la vez que intento sujetar su muñeca con mi mano libre.;
example2_training_field_098;;;;;;rafarencio:attack;;;Su rapidez me impide poder hacer algo más que defenderme o ponerme de pie, me tiene acorralado.;
example2_training_field_099;;;;;;;;;¿Qué más da? Es un entrenamiento, tengo que aprovechar para arriesgarme.;
example2_training_field_100;;;;;;;;;Decido romper su ciclo de ataques tomando la iniciativa y atacándolo a él también arriesgándome a recibir un golpe fatal en más de una ocasión.;
example2_training_field_101;;;;;;rafarencio:zoom:1:0.5;;;Logro hacer un pequeño hueco para apoyar mis pies en el suelo y ponerme de pie.;
example2_training_field_102;;;;;;;;;Él logra golpearme en varios sitios, el dolor se va acumulando y me va desgastando.;
example2_training_field_103;;;;;;;;;Rafa se pone algo más serio conmigo intentando terminar el combate lo antes posible.;
example2_training_field_104;;;;;;;;;Él dirige un golpe hacia mi cabeza y logro esquivarlo de milagro estirando mi cuello hacia atrás para evitar el golpe.;
example2_training_field_105;;;;;;;;;Es ahí donde justo frente a mis ojos, a escasos centímetros de mi rostro está su escurridiza muñeca, muñeca que he intentado sujetar numerosas veces sin éxito alguno.;
example2_training_field_106;;;;;;;;;No puedo perder esta oportunidad.;
example2_training_field_107;;;;;;;;;Las palabras del instructor resuenan en mi mente.;
example2_training_field_108;;;;;;;;instructor;¡Un verdadero guerrero combate incluso si debe usar las uñas y los….;
example2_training_field_109;;;;;;;;berto;¡Dientez! ¡Ze Zengo!;
example2_training_field_110;;;;;;;;*;Muerdo su muñeca, él sacude el brazo y logra zafarse de mi mordisco pero logro mantener la manga de su uniforme con mis dientes.;
example2_training_field_111;;;;;;;;;Con su muñeca controlada ataco empuñando mi espada con mi mano derecha a su abdomen pero él la detiene con su brazo libre.;
example2_training_field_112;;;;;;;;;Está expuesto, tengo sus brazos ocupados y yo tengo uno libre, es mi oportunidad.;
example2_training_field_113;;;;;;rafarencio pain,rafarencio pain:damage;;;Con mi mano izquierda le suelto un puñetazo justo en las costillas.;
*;training field;;;;;rafarencio pain:pop:50, flint right:pop:54;;;Recibe el impacto y gruñe, eso le ha dolido bastante pero no será suficiente para derribar a alguien como él.;
example2_training_field_115;;;;;blur:50;rafarencio:jump, rafarencio:decor:stars, flint left:decor:annoying, rafarencio:decor:annoying;;;Forcejea con su muñeca, puedo sentir como mis encías se esfuerzan todo lo que pueden.;
example2_training_field_116;;;;;blur;rafarencio:decor:stars;;;Sigo golpeando su costado sin cesar, no puedo estar en esta posición para siempre, los dientes me van a quedar todos torcidos después de esto.;
example2_training_field_117;;;;;;rafarencio:destroy;;;El brazo izquierdo se me empieza a cansar, no puedo resistir dar 20 golpes fuertes seguidos sin cansarme empiezo a notarme rígido.;
#decision;;;;;;;;;;
keep_punching;;ejemplo2/ejemplo2_002_keep_hitting;;Forzarte y seguir golpeando;;;;;;
big_punch;;ejemplo2/ejemplo2_004_prepare_powerfull_hit;;Preparar un golpe fuerte;;;;;;
